Campaign_ID,Campaign_Name,Channel,Target_Segment,Impressions,Clicks,Conversions,Deposits,Revenue_USD,Start_Date,End_Date
C007,Comeback Offer,Social Media,High Rollers,1631,565,565,565,18871.8,2025-06-03,2025-06-13
C020,VIP Reload,Push Notification,High Rollers,43298,1329,1329,1329,36295.42,2025-06-25,2025-07-07
C015,Bet & Chill,Email,Churned Users,30951,5490,4135,4135,1276.87,2025-06-23,2025-07-03
C011,Goal Galore,Affiliate,Casual Bettors,21720,9848,7311,6041,10421.06,2025-06-25,2025-07-02
C008,Spin & Win,SMS,New Users,48506,5781,5781,2566,25622.02,2025-06-08,2025-06-19
C007,VIP Reload,Email,Churned Users,4755,2982,2982,2982,38129.17,2025-06-28,2025-07-10
C019,Early Bird Bonus,Affiliate,Casual Bettors,18185,9089,7811,4043,37617.11,2025-06-16,2025-06-28
C011,Lucky Draw,Email,Returning Users,24348,8554,2514,2514,41567.43,2025-06-11,2025-06-24
C011,Refer & Earn,Social Media,Casual Bettors,40510,4785,1540,1540,17638.86,2025-06-07,2025-06-18
C004,Weekend Frenzy,Social Media,Casual Bettors,45289,9160,5754,2355,10970.87,2025-06-16,2025-06-23
C008,Lucky Draw,Affiliate,New Users,37027,1942,1942,1942,40067.47,2025-06-26,2025-07-06
C003,Welcome Bonus,SMS,Casual Bettors,12181,7991,3754,1478,26107.65,2025-06-24,2025-07-01
C002,Big Match Bonus,Social Media,Casual Bettors,13302,1715,1715,1715,3247.29,2025-06-25,2025-07-07
C012,Welcome Bonus,SMS,High Rollers,20554,5164,5164,2444,433.37,2025-06-25,2025-07-02
C006,Spin & Win,Affiliate,New Users,45399,2457,2457,2457,46574.42,2025-06-25,2025-07-08
C002,High Roller Heaven,Affiliate,Casual Bettors,3431,3431,3255,3255,41433.34,2025-06-16,2025-06-28
C001,Flash Bet Boost,Email,Casual Bettors,9454,764,764,764,30171.16,2025-06-06,2025-06-14
C012,Midweek Madness,Affiliate,High Rollers,8356,6832,3724,2328,47868.18,2025-06-10,2025-06-19
C012,VIP Reload,Email,New Users,29578,6453,3023,3023,16665.96,2025-06-02,2025-06-10
C017,Weekend Frenzy,SMS,Returning Users,11530,7717,6699,569,34400.84,2025-06-06,2025-06-13
C010,Midweek Madness,Email,New Users,35372,6530,1031,1031,36856.66,2025-06-11,2025-06-25
C016,Comeback Offer,SMS,Churned Users,27578,898,898,882,45627.95,2025-06-16,2025-06-30
C015,Spin & Win,Social Media,Casual Bettors,17222,9782,7601,422,7867.38,2025-06-10,2025-06-23
C015,Welcome Bonus,SMS,Churned Users,3539,3539,3539,3539,23735.55,2025-06-01,2025-06-12
C019,Weekend Frenzy,Push Notification,Churned Users,35413,2402,2360,2360,43609.92,2025-06-21,2025-06-30
C012,Midweek Madness,Email,Returning Users,16039,4027,4027,2991,39133.56,2025-06-29,2025-07-11
C020,Loyalty Bonus,Social Media,Casual Bettors,6026,6026,2594,2594,28621.16,2025-06-30,2025-07-08
C003,Instant Win Promo,SMS,New Users,9932,4089,4089,4089,4019.24,2025-06-04,2025-06-16
C005,Lucky Draw,Affiliate,High Rollers,21377,2010,996,996,2559.25,2025-06-23,2025-07-06
C019,Comeback Offer,Email,Casual Bettors,17617,4566,4343,2828,30345.46,2025-06-20,2025-07-04
C007,Flash Bet Boost,SMS,Churned Users,8302,8302,6173,2605,16504.59,2025-06-29,2025-07-07
C009,Loyalty Bonus,Social Media,Churned Users,39883,7583,6634,408,14889.39,2025-06-11,2025-06-20
C007,Mega Multiplier,Affiliate,Casual Bettors,10556,8672,1447,1447,9882.93,2025-06-24,2025-07-05
C018,Lucky Draw,Email,Returning Users,35510,4481,4481,3531,43601.66,2025-06-22,2025-06-30
C004,Midweek Madness,Social Media,New Users,40416,3015,3015,249,33458.01,2025-06-27,2025-07-09
C014,Deposit Doubler,Affiliate,High Rollers,8052,3023,3023,3023,40110.38,2025-06-30,2025-07-09
C018,Lucky Draw,Push Notification,Returning Users,18363,5587,5587,904,36487.22,2025-06-03,2025-06-15
C009,Mega Multiplier,Affiliate,New Users,11482,5820,4334,2381,14342.68,2025-06-18,2025-06-29
C002,Welcome Bonus,Email,Casual Bettors,4169,4169,2059,2059,45982.85,2025-06-03,2025-06-13
C020,Midweek Madness,Push Notification,Returning Users,22337,2440,306,306,48277.39,2025-06-23,2025-07-01
C015,Goal Galore,SMS,High Rollers,2889,2889,2889,301,32823.71,2025-06-09,2025-06-20
C007,Lucky Draw,Push Notification,New Users,22010,2942,2942,2942,40732.59,2025-06-23,2025-06-30
C012,Weekend Frenzy,Push Notification,Casual Bettors,41056,1191,841,841,25416.33,2025-06-24,2025-07-06
C008,Spin & Win,Push Notification,New Users,39884,3748,3748,53,27826.16,2025-06-19,2025-06-28
C015,Deposit Doubler,Affiliate,High Rollers,1758,1758,1758,1758,28495.59,2025-06-15,2025-06-25
C003,Weekend Frenzy,Push Notification,Casual Bettors,25618,7925,205,205,11402.12,2025-06-02,2025-06-15
C014,Midweek Madness,Push Notification,Churned Users,5861,3468,3468,1132,39024.48,2025-06-01,2025-06-10
